GeneID,Symbol,Gene Name / Type,log2FC,pvalue
100874201,B4GALT4-AS1,B4GALT4 antisense RNA 1,-2.9834999999999994,0.03535543634942514
57514,ARHGAP31,Rho GTPase activating protein 31,1.4540000000000002,0.06400832162747477
100874246,ARHGAP31-AS1,ARHGAP31 antisense RNA 1,-0.13755,0.7306875589094548
55254,TMEM39A,transmembrane protein 39A,-8.18,0.08119301038730678
56983,POGLUT1,protein O-glucosyltransferase 1,-0.5865000000000009,0.6124460167035433
51300,TIMMDC1,translocase of inner mitochondrial membrane domain containing 1,-0.4399999999999977,0.7139014576303749
941,CD80,CD80 molecule,0.015475,0.49999999999999956
107986118,LOC107986118,uncharacterized LOC107986118,0,NA
141,ADPRH,ADP-ribosylarginine hydrolase,0.2539999999999998,0.1544223504675999
51365,PLA1A,phospholipase A1 member A,0.032115,0.49999999999999956
105374062,NA,NA,0,NA
64091,POPDC2,popeye domain cAMP effector 2,0.24849999999999994,0.11568231729392786
105374063,LOC105374063,uncharacterized LOC105374063,-0.055349999999999955,0.7989995806226511
10063,COX17,cytochrome c oxidase copper chaperone COX17,-2.1999999999999886,0.7104951299770517
105374064,LOC105374064,uncharacterized LOC105374064,0,NA
89876,CFAP91,cilia and flagella associated protein 91,0.018655000000000005,0.6469067801037658
8856,NR1I2,nuclear receptor subfamily 1 group I member 2,0,NA
2932,GSK3B,glycogen synthase kinase 3 beta,2.019999999999996,0.41471890182245835
113839522,MIR6529,microRNA 6529,0,NA
107986119,GSK3B-DT,GSK3B divergent transcript,0.1515000000000002,0.5250710540697444
105374065,LOC105374065,uncharacterized LOC105374065,-0.0423,0.65682651774829
165829,GPR156,G protein-coupled receptor 156,0.09310000000000002,0.39243526905137904
116064,LRRC58,leucine rich repeat containing 58,2.34,0.7694811240624598
100130701,BTNL12P,"butyrophilin like 12, pseudogene",-0.040000000000000036,0.49594175650977645
11167,FSTL1,follistatin like 1,0.006500000000000006,0.8973232938435423
406975,MIR198,microRNA 198,-0.39495,0.49999999999999956
107986121,LOC107986121,uncharacterized LOC107986121,-2.011,0.18488550225102388
4710,NDUFB4,NADH:ubiquinone oxidoreductase subunit B4,14.150000000000034,5.120529925031511e-4
