GeneID,Symbol,Gene Name / Type
100507415,NA,NA
105376166,LOC105376166,uncharacterized LOC105376166
112268050,LOC112268050,uncharacterized LOC112268050
101926917,ANKRD18CP,"ankyrin repeat domain 18C, pseudogene"
57653,SUGT1P4-STRA6LP-CCDC180,SUGT1P4-STRA6LP-CCDC180 readthrough
100499484,SUGT1P4-STRA6LP,SUGT1P4-STRA6LP readthrough
100499483,CCDC180,coiled-coil domain containing 180
100302223,MIR1302-8,microRNA 1302-8
286359,LOC286359,uncharacterized LOC286359
105376167,NA,NA
23424,TDRD7,tudor domain containing 7
7111,TMOD1,tropomodulin 1
105376168,TMOD1-AS1,TMOD1 antisense RNA 1
158427,TSTD2,thiosulfate sulfurtransferase like domain containing 2
4686,NCBP1,nuclear cap binding protein subunit 1
105376171,NA,NA
7507,XPA,"XPA, DNA damage recognition and repair factor"
101928337,PTCSC2,papillary thyroid carcinoma susceptibility candidate 2
2304,FOXE1,forkhead box E1
112268051,NA,NA
51531,TRMO,tRNA methyltransferase O
55363,HEMGN,hemogen
10541,ANP32B,acidic nuclear phosphoprotein 32 family member B
54187,NANS,N-acetylneuraminate synthase
9830,TRIM14,tripartite motif containing 14
7464,CORO2A,coronin 2A
55357,TBC1D2,TBC1 domain family member 2
102465514,MIR6854,microRNA 6854
9568,GABBR2,gamma-aminobutyric acid type B receptor subunit 2
203286,ANKS6,ankyrin repeat and sterile alpha motif domain containing 6
79695,GALNT12,polypeptide N-acetylgalactosaminyltransferase 12
102724684,LOC102724684,uncharacterized LOC102724684
1306,COL15A1,collagen type XV alpha 1 chain
7046,TGFBR1,transforming growth factor beta receptor 1
105376174,LOC105376174,uncharacterized LOC105376174
85365,ALG2,"ALG2 alpha-1,3/1,6-mannosyltransferase"
10952,SEC61B,SEC61 translocon subunit beta
100996569,NAMA,"non-protein coding RNA, associated with MAP kinase pathway and growth arrest"
107987011,LOC107987011,uncharacterized LOC107987011
107987012,LOC107987012,uncharacterized LOC107987012
101928438,LOC101928438,uncharacterized LOC101928438
8013,NR4A3,nuclear receptor subfamily 4 group A member 3
441461,STX17-DT,STX17 divergent transcript
55014,STX17,syntaxin 17
23071,ERP44,endoplasmic reticulum protein 44
105376176,LOC105376176,uncharacterized LOC105376176
27130,INVS,inversin
54881,TEX10,testis expressed 10
105376177,LOC105376177,uncharacterized LOC105376177
91283,MSANTD3,Myb/SANT DNA binding domain containing 3
100526694,MSANTD3-TMEFF1,MSANTD3-TMEFF1 readthrough
8577,TMEFF1,transmembrane protein with EGF like and two follistatin like domains 1
347273,CAVIN4,caveolae associated protein 4
105376179,LOC105376179,uncharacterized LOC105376179
105376180,LOC105376180,uncharacterized LOC105376180
105376181,LOC105376181,uncharacterized LOC105376181
