GeneID,GSM2794663,GSM2794664,GSM2794665,GSM2794666,GSM2794667,GSM2794668,GSM2794669,GSM2794670
28990,5.948,5.194,5.726,4.823,4.846,5.426,4.981,4.489
79858,0.723,0.9455,1.118,0.8193,1.211,1.121,1.334,0.9864
107986024,0,0,0,0,0,0,0,0
339874,0.04952,0.02685,0,0,0.07592,0.04282,0.09236,0.03641
152195,0,0,0.02219,0,0,0.01792,0,0
131870,12.91,13.06,15.9,13.45,18,17.12,16.23,15.62
107986025,0.03578,0.02586,0.1022,0.03405,0,0.02063,0.02966,0.03508
105374110,0,0.04872,0.04813,0.06414,0,0.03885,0,0.1321
11222,188.4,183.4,221.3,219.8,155,180.5,175.3,155.1
677836,0.415,0.45,0,0,0.6363,0.1795,0,0
105374114,11.92,9.332,7.84,8.674,8.821,7.762,9.214,8.325
131034,1.051,1.403,1.923,1.232,1.86,1.763,1.508,1.847
105374113,0,0,0,0,0,0,0,0
100847040,0,0,0,0,0,0,0,0
105374111,0.0207,0,0,0,0.01586,0,0,0
100189179,0,0,0,0,0,0,0,0
100189250,0,0,0,0,0,0,0,0
55,2.414,2.307,1.912,1.47,2.298,2.444,1.935,1.077
23317,35.86,32.66,52.38,42.71,34.05,35.13,39.77,31.17
100532724,5.515,5.284,6.972,5.934,5.784,5.672,5.473,4.614
84129,7.359,6.704,7.997,7.183,7.75,7.462,7.294,6.137
51554,0.1147,0.1036,0.2048,0.1637,0.08792,0.08265,0.1664,0.08433
79876,14.33,13.52,22.94,21.13,14,17.77,17.62,14.12
27031,3.691,3.862,5.837,5.308,4.057,4.039,3.655,3.205
348808,0.08472,0.1021,0.0605,0.04031,0.08658,0.07326,0.08193,0.04152
105374115,0,0,0,0,0,0,0,0
66000,0.02355,0.0766,0.1261,0.1177,0.03611,0.03055,0.02928,0.03463
101927455,0,0,0,0,0,0,0,0.0308
101927432,0,0.004696,0.03712,0.01855,0,0.003745,0.01077,0.006369
8419,0.04267,0,0.06857,0,0,0.009225,0,0.03137
85003,0.05008,0.2172,0.3576,0.2383,0.07677,0.101,0.06227,0.4418
55573,118.5,112.1,185.8,165.5,83.85,96.71,99.86,95.34
11073,21.53,19,37.21,28.68,19.6,21.45,23.79,18.19
7018,0.004615,0.007505,0.02472,0.01647,0.01061,0.009977,0.02008,0.01357
58477,60.45,56.72,66.12,76.26,49.43,51.75,54.89,52.61
105374116,0.07887,0.2565,0.08449,0.2252,0,0.2728,0.1961,0.2319
51560,2.052,2.235,2.08,1.782,2.517,2.056,1.999,1.761
80111,0,0.03183,0.03145,0,0.135,0,0,0
